# z        bx_sc        by_sc        bx_wo_sc        by_wo_sc
4.8753000e+00 1.0038081e+01 1.0027126e+01 2.6033617e+00 2.6041035e+00
4.8866000e+00 1.0075304e+01 1.0064534e+01 2.5946613e+00 2.5958005e+00
4.8980000e+00 1.0126451e+01 1.0116252e+01 2.5909067e+00 2.5920431e+00
4.9088000e+00 1.0217818e+01 1.0206678e+01 2.5961384e+00 2.5968746e+00
4.9202000e+00 1.0306127e+01 1.0294269e+01 2.6066970e+00 2.6078320e+00
4.9316000e+00 1.0335546e+01 1.0323306e+01 2.6139805e+00 2.6151189e+00
4.9430000e+00 1.0359398e+01 1.0346794e+01 2.6148462e+00 2.6159925e+00
4.9538000e+00 1.0416624e+01 1.0403963e+01 2.6103626e+00 2.6115816e+00
4.9652000e+00 1.0512949e+01 1.0500539e+01 2.6027579e+00 2.6035833e+00
4.9766000e+00 1.0611564e+01 1.0599207e+01 2.5899787e+00 2.5911059e+00
4.9880000e+00 1.0652136e+01 1.0640584e+01 2.5740233e+00 2.5748752e+00
4.9987000e+00 1.0604865e+01 1.0593457e+01 2.5564680e+00 2.5572706e+00
5.0101000e+00 1.0574327e+01 1.0563901e+01 2.5475434e+00 2.5483512e+00
5.0215000e+00 1.0745361e+01 1.0733384e+01 2.5554787e+00 2.5563460e+00
5.0329000e+00 1.0929747e+01 1.0917037e+01 2.5713768e+00 2.5721842e+00
5.0443000e+00 1.0955469e+01 1.0942359e+01 2.5793575e+00 2.5802254e+00
5.0551000e+00 1.0958949e+01 1.0945705e+01 2.5797518e+00 2.5806240e+00
5.0665000e+00 1.1012797e+01 1.0999297e+01 2.5751892e+00 2.5761298e+00
5.0779000e+00 1.1112160e+01 1.1098037e+01 2.5681954e+00 2.5690876e+00
5.0893000e+00 1.1221374e+01 1.1207483e+01 2.5583741e+00 2.5592792e+00
5.1001000e+00 1.1283574e+01 1.1270253e+01 2.5460532e+00 2.5469109e+00
5.1115000e+00 1.1255392e+01 1.1243547e+01 2.5320986e+00 2.5329664e+00
5.1228000e+00 1.1199911e+01 1.1187999e+01 2.5218048e+00 2.5226787e+00
5.1342000e+00 1.1323933e+01 1.1311606e+01 2.5240175e+00 2.5248932e+00
5.1450000e+00 1.1520969e+01 1.1508091e+01 2.5347713e+00 2.5356465e+00
5.1564000e+00 1.1574658e+01 1.1560146e+01 2.5412036e+00 2.5417742e+00
5.1678000e+00 1.1567845e+01 1.1553697e+01 2.5410581e+00 2.5419960e+00
5.1792000e+00 1.1607102e+01 1.1592237e+01 2.5375007e+00 2.5384457e+00
5.1900000e+00 1.1691539e+01 1.1676755e+01 2.5317142e+00 2.5326696e+00
5.2014000e+00 1.1804546e+01 1.1789780e+01 2.5247609e+00 2.5257276e+00
5.2128000e+00 1.1890422e+01 1.1876200e+01 2.5155245e+00 2.5165030e+00
5.2242000e+00 1.1887033e+01 1.1873574e+01 2.5047289e+00 2.5057170e+00
5.2355000e+00 1.1820993e+01 1.1808425e+01 2.4953545e+00 2.4962912e+00
5.2463000e+00 1.1883499e+01 1.1870860e+01 2.4939473e+00 2.4945149e+00
5.2577000e+00 1.2095128e+01 1.2081174e+01 2.5002871e+00 2.5008537e+00
5.2691000e+00 1.2177686e+01 1.2162454e+01 2.5048261e+00 2.5054499e+00
5.2805000e+00 1.2166537e+01 1.2150954e+01 2.5041914e+00 2.5051913e+00
5.2913000e+00 1.2186641e+01 1.2171085e+01 2.5014290e+00 2.5020594e+00
5.3027000e+00 1.2263343e+01 1.2247669e+01 2.4968025e+00 2.4974405e+00
5.3141000e+00 1.2375558e+01 1.2360144e+01 2.4916375e+00 2.4922849e+00
5.3255000e+00 1.2475849e+01 1.2460735e+01 2.4849462e+00 2.4856034e+00
5.3363000e+00 1.2499661e+01 1.2485273e+01 2.4777942e+00 2.4784023e+00
5.3477000e+00 1.2436926e+01 1.2423459e+01 2.4704183e+00 2.4710330e+00
5.3590000e+00 1.2449688e+01 1.2436261e+01 2.4669843e+00 2.4676019e+00
5.3704000e+00 1.2648167e+01 1.2632866e+01 2.4694570e+00 2.4700745e+00
5.3812000e+00 1.2762963e+01 1.2746485e+01 2.4718890e+00 2.4725630e+00
5.3926000e+00 1.2755628e+01 1.2739311e+01 2.4710051e+00 2.4716804e+00
5.4040000e+00 1.2760606e+01 1.2743330e+01 2.4680457e+00 2.4687251e+00
5.4154000e+00 1.2823672e+01 1.2807339e+01 2.4644785e+00 2.4651646e+00
5.4262000e+00 1.2924991e+01 1.2908471e+01 2.4604741e+00 2.4611688e+00
5.4376000e+00 1.3036384e+01 1.3019584e+01 2.4566262e+00 2.4573297e+00
5.4490000e+00 1.3089227e+01 1.3072862e+01 2.4517713e+00 2.4524832e+00
5.4604000e+00 1.3040327e+01 1.3025136e+01 2.4465559e+00 2.4472176e+00
5.4718000e+00 1.3013631e+01 1.2998813e+01 2.4433523e+00 2.4436255e+00
5.4825000e+00 1.3171022e+01 1.3156234e+01 2.4433600e+00 2.4440822e+00
5.4939000e+00 1.3328760e+01 1.3312413e+01 2.4437172e+00 2.4444390e+00
5.5053000e+00 1.3333004e+01 1.3315140e+01 2.4416770e+00 2.4423997e+00
5.5167000e+00 1.3324779e+01 1.3306764e+01 2.4386214e+00 2.4393473e+00
5.5275000e+00 1.3368687e+01 1.3351457e+01 2.4359892e+00 2.4363264e+00
5.5389000e+00 1.3466871e+01 1.3448877e+01 2.4329855e+00 2.4337247e+00
5.5503000e+00 1.3583089e+01 1.3565374e+01 2.4308278e+00 2.4311779e+00
5.5617000e+00 1.3656986e+01 1.3639928e+01 2.4284279e+00 2.4287844e+00
5.5725000e+00 1.3632234e+01 1.3616929e+01 2.4259750e+00 2.4263366e+00
5.5839000e+00 1.3574278e+01 1.3559681e+01 2.4235174e+00 2.4238820e+00
5.5953000e+00 1.3692364e+01 1.3676454e+01 2.4224147e+00 2.4227803e+00
5.6066000e+00 1.3874937e+01 1.3857357e+01 2.4209437e+00 2.4212532e+00
5.6174000e+00 1.3900704e+01 1.3882080e+01 2.4178372e+00 2.4182034e+00
5.6288000e+00 1.3880423e+01 1.3861668e+01 2.4144156e+00 2.4151859e+00
5.6402000e+00 1.3909780e+01 1.3891022e+01 2.4118497e+00 2.4122221e+00
5.6516000e+00 1.3996540e+01 1.3977885e+01 2.4101193e+00 2.4104972e+00
5.6624000e+00 1.4107169e+01 1.4088556e+01 2.4091231e+00 2.4095071e+00
5.6738000e+00 1.4202062e+01 1.4184076e+01 2.4087714e+00 2.4095141e+00
5.6852000e+00 1.4204930e+01 1.4187810e+01 2.4086849e+00 2.4090797e+00
5.6966000e+00 1.4136387e+01 1.4120289e+01 2.4083655e+00 2.4087635e+00
5.7080000e+00 1.4204592e+01 1.4188402e+01 2.4069117e+00 2.4073112e+00
5.7188000e+00 1.4391465e+01 1.4373552e+01 2.4044537e+00 2.4048535e+00
5.7301000e+00 1.4453091e+01 1.4434006e+01 2.4000289e+00 2.4004292e+00
5.7415000e+00 1.4428321e+01 1.4408833e+01 2.3963013e+00 2.3967035e+00
5.7529000e+00 1.4441795e+01 1.4422075e+01 2.3938176e+00 2.3941680e+00
5.7637000e+00 1.4510963e+01 1.4491396e+01 2.3925384e+00 2.3929488e+00
5.7751000e+00 1.4623844e+01 1.4604320e+01 2.3928686e+00 2.3932847e+00
5.7865000e+00 1.4731276e+01 1.4712371e+01 2.3942742e+00 2.3946960e+00
5.7979000e+00 1.4759365e+01 1.4741290e+01 2.3962399e+00 2.3966666e+00
5.8087000e+00 1.4696542e+01 1.4679782e+01 2.3976941e+00 2.3981241e+00
5.8201000e+00 1.4705806e+01 1.4689087e+01 2.3975765e+00 2.3980080e+00
5.8315000e+00 1.4894602e+01 1.4875449e+01 2.3941749e+00 2.3946071e+00
5.8429000e+00 1.4990557e+01 1.4970770e+01 2.3886322e+00 2.3890098e+00
5.8537000e+00 1.4967016e+01 1.4946798e+01 2.3842356e+00 2.3842500e+00
5.8650000e+00 1.4958274e+01 1.4937873e+01 2.3815421e+00 2.3819245e+00
5.8764000e+00 1.5007220e+01 1.4985806e+01 2.3807210e+00 2.3807409e+00
5.8878000e+00 1.5102095e+01 1.5081729e+01 2.3813941e+00 2.3814174e+00
5.8986000e+00 1.5204340e+01 1.5184335e+01 2.3830404e+00 2.3834934e+00
5.9100000e+00 1.5288843e+01 1.5269261e+01 2.3852200e+00 2.3856781e+00
5.9214000e+00 1.5331863e+01 1.5312527e+01 2.3876252e+00 2.3876569e+00
5.9328000e+00 1.5372471e+01 1.5352402e+01 2.3876564e+00 2.3881217e+00
5.9442000e+00 1.5443470e+01 1.5423985e+01 2.3857567e+00 2.3862237e+00
5.9550000e+00 1.5508312e+01 1.5488143e+01 2.3837450e+00 2.3837810e+00
5.9664000e+00 1.5564078e+01 1.5542545e+01 2.3825216e+00 2.3825027e+00
5.9778000e+00 1.5615729e+01 1.5595123e+01 2.3821696e+00 2.3822057e+00
5.9891000e+00 1.5668276e+01 1.5646604e+01 2.3823684e+00 2.3823492e+00
5.9999000e+00 1.5716178e+01 1.5695740e+01 2.3828984e+00 2.3829341e+00
6.0113000e+00 1.5767302e+01 1.5745800e+01 2.3831629e+00 2.3831984e+00
